price_aprox_usd,surface_covered_in_m2,lat,lon,borough
168636.73,95.0,19.3687777,-99.1897886,Benito Juárez
34246.21,59.0,19.524143,-99.160149,Gustavo A. Madero
31717.26,65.0,19.325608,-99.06112,Iztapalapa
158059.45,100.0,19.3677299,-99.1527773,Benito Juárez
85668.22,70.0,19.332149,-99.244008,Álvaro Obregón
89567.02,64.0,19.410307,-99.065399,Iztacalco
255529.44,112.0,19.403489,-99.156312,Benito Juárez
54899.31,60.0,19.379109,-99.187689,Benito Juárez
51632.75,85.0,19.452419,-99.175058,Miguel Hidalgo
68492.42,50.0,19.287188,-99.170525,Tlalpan
44203.95,60.0,19.475187,-99.175019,Azcapotzalco
120652.04,120.0,19.367931,-99.170262,Benito Juárez
142253.5,81.0,19.367424,-99.185753,Benito Juárez
60589.45,101.0,19.314895,-99.09423,Iztapalapa
46469.47,76.0,19.273716,-99.186416,Tlalpan
139968.48,64.0,19.365391,-99.18956,Benito Juárez
86827.32,75.0,19.396862,-99.172659,Benito Juárez
168596.74,100.0,23.634501,-102.552788,Benito Juárez
184446.42,106.0,19.3714480121,-99.149787426,Benito Juárez
54688.57,69.0,19.422243,-99.127305,Iztacalco
75375.18,85.0,19.469418,-99.164299,Azcapotzalco
94673.92,116.0,19.387782,-99.186194,Benito Juárez
310923.97,60.0,19.411472,-99.188522,Miguel Hidalgo
60603.82,53.0,19.262049,-99.1138,Xochimilco
60030.97,70.0,19.402944,-99.199727,Miguel Hidalgo
54372.45,75.0,19.379525,-99.188914,Benito Juárez
62433.48,70.0,19.346767,-99.123658,Coyoacán
68546.74,55.0,19.384808,-99.137496,Benito Juárez
139619.18,75.0,19.45337,-99.181695,Miguel Hidalgo
168849.64,63.0,19.397397,-99.155802,Benito Juárez
117735.94,62.0,19.4306069,-99.0949899,Venustiano Carranza
167421.83,97.0,19.341894,-99.224525,Álvaro Obregón
76922.26,80.0,23.634501,-102.552788,Benito Juárez
38303.07,50.0,19.283388,-99.055038,Tláhuac
168596.74,100.0,19.431629,-99.162762,Cuauhtémoc
175231.5,115.0,19.428324,-99.176337,Miguel Hidalgo
194986.21,60.0,19.4445115,-99.1895493,Miguel Hidalgo
313484.57,94.0,19.429392,-99.181017,Miguel Hidalgo
54688.57,70.0,19.456145,-99.201167,Miguel Hidalgo
94858.16,110.0,19.400785,-99.147419,Benito Juárez
233851.71,125.0,19.394358,-99.177444,Benito Juárez
167421.83,97.0,19.341894,-99.224525,Álvaro Obregón
75815.85,90.0,19.334546,-99.207876,Álvaro Obregón
37201.39,85.0,19.370272,-99.149127,Benito Juárez
168596.74,126.0,19.437841,-99.220367,Miguel Hidalgo
27198.6,70.0,19.307417,-99.125191,Coyoacán
90058.74,75.0,19.384808,-99.155339,Benito Juárez
225498.15,75.0,19.409095,-99.163216,Cuauhtémoc
68861.23,51.0,19.473415,-99.143539,Gustavo A. Madero
54952.0,89.0,19.44673,-99.161695,Cuauhtémoc
131747.44,100.0,19.3898619,-99.1674138,Benito Juárez
33930.09,60.0,19.302076,-99.049427,Tláhuac
93255.07,69.0,19.472155,-99.161186,Azcapotzalco
142253.5,55.0,19.372684,-99.183678,Benito Juárez
52100.61,52.0,19.456439,-99.144414,Cuauhtémoc
163328.09,90.0,19.368475,-99.17952,Benito Juárez
54829.08,66.0,19.368823,-99.224603,Álvaro Obregón
55333.92,98.0,19.3549174,-99.0993735,Iztapalapa
225504.19,65.0,19.358585,-99.185753,Álvaro Obregón
142287.24,119.0,19.3703820187,-99.1493282287,Benito Juárez
53158.13,90.0,19.395097,-99.150424,Benito Juárez
26870.1,64.0,19.320269,-99.055412,Iztapalapa
210745.93,106.0,19.367745,-99.180127,Benito Juárez
60589.45,65.0,19.468092,-99.088883,Cuauhtémoc
25306.04,60.0,,,Iztapalapa
156444.61,52.0,19.405298,-99.164986,Cuauhtémoc
36889.28,71.0,19.2818221685,-99.1876426712,Tlalpan
20582.81,70.0,19.418844,-99.132357,Cuauhtémoc
29682.82,70.0,,,Azcapotzalco
230821.52,85.0,19.3943574,-99.1774462,Benito Juárez
33297.85,70.0,19.397649,-99.093087,Iztacalco
55847.67,53.0,19.408805,-99.129702,Cuauhtémoc
94022.66,57.0,23.634501,-102.552788,Benito Juárez
163366.83,80.0,19.3499358,-99.2906864,Cuajimalpa de Morelos
46364.1,75.0,19.313878,-99.094271,Iztapalapa
263432.41,110.0,19.427922,-99.160613,Benito Juárez
51076.22,60.0,19.392025,-99.135302,Benito Juárez
90058.74,90.0,19.384808,-99.155339,Benito Juárez
46726.39,75.0,19.361114,-99.222666,Álvaro Obregón
105741.77,60.0,19.493973,-99.130394,Gustavo A. Madero
163328.09,100.0,19.394073,-99.153915,Benito Juárez
332836.85,110.0,19.371342,-99.253616,Cuajimalpa de Morelos
104319.23,65.0,19.386852,-99.194748,Álvaro Obregón
50930.23,103.0,19.38499,-99.227853,Álvaro Obregón
187081.37,100.0,19.3392293,-99.2189838,Álvaro Obregón
31927.95,70.0,19.490331,-99.207579,Azcapotzalco
32314.35,60.0,19.3821,-99.204573,Álvaro Obregón
39524.23,66.0,19.461416,-99.133163,Cuauhtémoc
28398.01,69.0,19.363469,-99.010141,Iztapalapa
104664.75,60.0,19.364005,-99.153602,Benito Juárez
163366.83,99.0,19.3747920646,-99.137270786,Benito Juárez
79575.45,75.0,19.440749,-99.141649,Cuauhtémoc
21795.44,55.0,19.45178,-99.15709,Cuauhtémoc
274496.58,85.0,19.443333,-99.202983,Miguel Hidalgo
118070.41,107.0,19.39557,-99.132937,Benito Juárez
76395.4,64.0,19.478815,-99.196831,Azcapotzalco
24459.75,85.0,19.409843,-99.125509,Venustiano Carranza
30835.54,110.0,19.282895,-99.166933,Tlalpan
192305.66,85.0,19.401331,-99.154029,Benito Juárez
97469.99,126.0,19.425758,-99.174333,Cuauhtémoc
175231.5,115.0,19.428324,-99.176337,Miguel Hidalgo
139619.18,83.0,19.365031,-99.147736,Benito Juárez
70516.85,90.0,19.273713,-99.120741,Xochimilco
107322.36,108.0,19.309713,-99.1262,Coyoacán
86862.09,80.0,19.348122,-99.125716,Coyoacán
110114.75,93.0,19.387579,-99.170353,Benito Juárez
76079.28,75.0,19.404442,-99.162688,Cuauhtémoc
161826.53,106.0,19.362511,-99.166374,Benito Juárez
81664.04,74.0,19.384506,-99.135865,Benito Juárez
255529.44,122.0,19.390912,-99.172242,Benito Juárez
31619.38,69.0,19.505199,-99.155991,Gustavo A. Madero
57968.87,73.0,19.3883217,-99.1862188,Miguel Hidalgo
220492.93,80.0,19.414597,-99.156686,Cuauhtémoc
81242.55,95.0,19.362864,-99.173988,Benito Juárez
94045.37,65.0,19.472155,-99.161186,Azcapotzalco
37934.26,56.0,19.391754,-99.056058,Iztapalapa
105741.77,60.0,19.493973,-99.130394,Gustavo A. Madero
36880.53,75.0,,,Álvaro Obregón
71126.75,70.0,19.383446,-99.137643,Benito Juárez
175231.5,100.0,19.428324,-99.176337,Miguel Hidalgo
53112.13,75.0,19.324386,-99.124228,Coyoacán
27133.53,60.0,19.452689,-99.117987,Venustiano Carranza
50327.52,72.0,19.3915,-99.038137,Iztapalapa
173839.05,122.0,19.449148,-99.175534,Miguel Hidalgo
98502.65,89.0,19.436264,-99.099608,Venustiano Carranza
18444.64,60.0,19.422676,-99.097893,Venustiano Carranza
46633.43,64.0,,,Iztacalco
32279.21,70.0,19.457685,-99.121754,Venustiano Carranza
38777.25,65.0,19.511198,-99.200576,Azcapotzalco
147522.15,85.0,,,Benito Juárez
263494.89,120.0,19.3024064,-99.2018433,Tlalpan
26027.12,60.0,19.404918,-99.1978,Miguel Hidalgo
387245.65,115.0,19.437991,-99.188609,Miguel Hidalgo
85878.96,78.0,19.396893,-99.152302,Benito Juárez
42676.05,58.0,19.443178,-99.144234,Cuauhtémoc
121354.51,75.0,19.397686,-99.161395,Benito Juárez
80139.33,50.0,19.4555330491,-99.1633956134,Cuauhtémoc
33982.78,70.0,19.448187,-99.161176,Cuauhtémoc
156706.83,70.0,19.386821,-99.164805,Benito Juárez
60076.83,67.0,19.461306,-99.127826,Cuauhtémoc
44203.95,50.0,19.419427,-99.067675,Iztacalco
166489.28,70.0,19.384365,-99.156091,Benito Juárez
51632.75,63.0,19.194247,-99.141976,Tlalpan
131418.07,94.0,19.3338880248,-99.151327014,Coyoacán
81664.04,67.0,19.474223,-99.18722,Azcapotzalco
340345.2,108.0,19.4032833,-99.1821858,Miguel Hidalgo
137017.34,78.0,19.3825040623,-99.1580399126,Benito Juárez
205526.01,122.0,19.408697,-99.181012,Cuauhtémoc
42823.57,75.0,19.489901,-99.192497,Azcapotzalco
93333.36,90.0,19.39177,-99.159996,Benito Juárez
55320.8,64.0,19.385994,-99.106613,Iztacalco
115910.26,83.0,19.368808,-99.112954,Iztacalco
79029.72,50.0,19.404661,-99.133858,Cuauhtémoc
47191.28,66.0,19.30241,-99.109299,Coyoacán
35475.54,60.0,19.455894,-99.18355,Miguel Hidalgo
209165.34,51.0,19.440935,-99.188522,Miguel Hidalgo
237089.17,120.0,19.41498,-99.177444,Cuauhtémoc
25299.31,80.0,19.383948,-99.067884,Iztapalapa
204686.98,121.0,19.368182,-99.176664,Benito Juárez
142253.5,55.0,19.372684,-99.183678,Benito Juárez
27486.01,50.0,19.422817,-99.058911,Venustiano Carranza
271035.92,106.0,19.331932,-99.246689,Álvaro Obregón
53399.87,60.0,19.2990233,-99.0436467,Tláhuac
85527.7,110.0,19.347664,-99.125001,Coyoacán
105372.96,58.0,19.492992,-99.149765,Gustavo A. Madero
150830.86,73.0,19.3596034,-99.1514055,Benito Juárez
142253.5,82.0,19.381729,-99.164986,Benito Juárez
268764.29,101.0,19.39365,-99.14769,Benito Juárez
150156.47,78.0,19.322523,-99.141464,Coyoacán
32138.75,66.0,19.446253,-99.157519,Cuauhtémoc
120652.04,120.0,19.367931,-99.170262,Benito Juárez
140525.38,61.0,19.364891,-99.148384,Benito Juárez
173865.39,100.0,19.394358,-99.177444,Benito Juárez
40568.59,53.0,19.383599,-99.190834,Benito Juárez
269180.16,117.0,19.3503274,-99.2989735,Cuajimalpa de Morelos
38039.64,74.0,19.383251,-99.105499,Iztacalco
46364.1,90.0,19.427118,-99.141954,Cuauhtémoc
140121.28,62.0,19.39912,-99.141464,Benito Juárez
60238.19,80.0,19.398983,-99.154034,Benito Juárez
123813.23,90.0,19.387131,-99.147493,Benito Juárez
90093.88,90.0,19.384371,-99.135965,Benito Juárez
84482.77,75.0,19.39557,-99.132937,Benito Juárez
68546.69,64.0,19.383446,-99.137643,Benito Juárez
131800.14,85.0,19.434723,-99.175887,Miguel Hidalgo
44203.95,70.0,19.382649,-99.143384,Benito Juárez
33218.82,54.0,19.406759,-99.125172,Venustiano Carranza
47628.58,60.0,19.49662,-99.185876,Azcapotzalco
46375.1,70.0,19.39617,-99.13791,Benito Juárez
310729.14,121.0,19.394358,-99.177444,Benito Juárez
79029.72,65.0,19.370046,-99.146155,Benito Juárez
192305.66,85.0,19.3618265,-99.1542053,Benito Juárez
51770.26,110.0,19.308573,-99.07088,Iztapalapa
46954.78,60.0,19.359901,-99.189606,Álvaro Obregón
189671.34,89.0,19.417364,-99.159454,Cuauhtémoc
79556.59,80.0,19.427754,-99.171109,Cuauhtémoc
77533.42,85.0,19.396705,-99.181902,Benito Juárez
158059.45,100.0,19.340202,-99.257774,Álvaro Obregón
94308.8,57.0,19.298168,-99.113106,Tlalpan
128536.81,62.0,19.39912,-99.141464,Benito Juárez
90093.88,70.0,19.369509,-99.172532,Benito Juárez
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
33200.35,50.0,19.4179232,-99.1483827,Cuauhtémoc
32474.95,86.0,19.307754,-99.12497,Coyoacán
190122.1,97.0,19.3813197,-99.1996895,Miguel Hidalgo
43202.91,50.0,19.410307,-99.065399,Iztacalco
64857.06,80.0,19.461871,-99.129227,Cuauhtémoc
34387.36,60.0,19.527836,-99.169827,Gustavo A. Madero
135057.59,79.0,19.3638234,-99.1444714,Benito Juárez
